"id";"nombre";"apaterno";"amaterno";"edad";"sexo";"email";"email_verified_at";"cargo";"jornada";"escolaridad";"departamento_id";"password";"remember_token";"created_at";"updated_at"
77;"Delilah";"Boehm";"DuBuque";34;"Masculino";"gardner.labadie@example.org";"2019-08-08 08:52:12";"Economics Teacher";"Diurna";"Primaria";4;"$2y$10$YkpG5/TAVO5kjp/IV3zmouIFhmafAi8Lti7m/QwaZ.5CmZmRJWN7y";"iRLqg2tUxv";"2019-08-08 08:52:15";"2019-08-08 08:52:15"
78;"Elvera";"Romaguera";"Sawayn";18;"Femenino";"golden11@example.net";"2019-08-08 08:52:12";"Electrical Drafter";"Nocturna";"Universidad";2;"$2y$10$YkpG5/TAVO5kjp/IV3zmouIFhmafAi8Lti7m/QwaZ.5CmZmRJWN7y";"XhROiUFduf";"2019-08-08 08:52:15";"2019-08-08 08:52:15"
79;"Brant";"Huel";"Stanton";25;"Femenino";"emard.alfreda@example.com";"2019-08-08 08:52:12";"Therapist";"Mixta";"Tecnica";2;"$2y$10$YkpG5/TAVO5kjp/IV3zmouIFhmafAi8Lti7m/QwaZ.5CmZmRJWN7y";"AWaU9VdUle";"2019-08-08 08:52:15";"2019-08-08 08:52:15"
80;"Etha";"Smitham";"Ferry";22;"Masculino";"xchamplin@example.net";"2019-08-08 08:52:12";"Cashier";"Nocturna";"Primaria";4;"$2y$10$YkpG5/TAVO5kjp/IV3zmouIFhmafAi8Lti7m/QwaZ.5CmZmRJWN7y";"PdirNdQRJt";"2019-08-08 08:52:15";"2019-08-08 08:52:15"
81;"Parker";"Mills";"Doyle";35;"Masculino";"afisher@example.com";"2019-08-08 08:52:12";"Broadcast News Analyst";"Mixta";"Primaria";4;"$2y$10$YkpG5/TAVO5kjp/IV3zmouIFhmafAi8Lti7m/QwaZ.5CmZmRJWN7y";"V3YRkwd0AX";"2019-08-08 08:52:15";"2019-08-08 08:52:15"
82;"Syble";"Glover";"Halvorson";22;"Femenino";"leopoldo83@example.com";"2019-08-08 08:52:12";"Postal Service Clerk";"Mixta";"Tecnica";5;"$2y$10$YkpG5/TAVO5kjp/IV3zmouIFhmafAi8Lti7m/QwaZ.5CmZmRJWN7y";"FrqJtnCrQB";"2019-08-08 08:52:15";"2019-08-08 08:52:15"
83;"Aileen";"Bailey";"Stiedemann";37;"Femenino";"jaunita36@example.net";"2019-08-08 08:52:12";"Fashion Model";"Mixta";"Secundaria";4;"$2y$10$YkpG5/TAVO5kjp/IV3zmouIFhmafAi8Lti7m/QwaZ.5CmZmRJWN7y";"WBQGRqjVeJ";"2019-08-08 08:52:15";"2019-08-08 08:52:15"
84;"Desiree";"O'Reilly";"Lubowitz";26;"Masculino";"spencer.marcelino@example.com";"2019-08-08 08:52:12";"Grips";"Mixta";"Universidad";1;"$2y$10$YkpG5/TAVO5kjp/IV3zmouIFhmafAi8Lti7m/QwaZ.5CmZmRJWN7y";"IRgOl5XoX9";"2019-08-08 08:52:15";"2019-08-08 08:52:15"
85;"Alexis";"O'Kon";"Gutkowski";24;"Masculino";"cydney54@example.com";"2019-08-08 08:52:12";"Precision Dyer";"Nocturna";"Preparatoria";5;"$2y$10$YkpG5/TAVO5kjp/IV3zmouIFhmafAi8Lti7m/QwaZ.5CmZmRJWN7y";"IfYXrEeNDo";"2019-08-08 08:52:15";"2019-08-08 08:52:15"
86;"Nikita";"Moen";"Stamm";31;"Masculino";"kpaucek@example.com";"2019-08-08 08:52:12";"Health Technologist";"Diurna";"Preparatoria";2;"$2y$10$YkpG5/TAVO5kjp/IV3zmouIFhmafAi8Lti7m/QwaZ.5CmZmRJWN7y";"bddyM5zD57";"2019-08-08 08:52:15";"2019-08-08 08:52:15"
87;"Lukas";"Stroman";"Gaylord";26;"Masculino";"uveum@example.com";"2019-08-08 08:52:12";"Agricultural Equipment Operator";"Nocturna";"Preparatoria";2;"$2y$10$YkpG5/TAVO5kjp/IV3zmouIFhmafAi8Lti7m/QwaZ.5CmZmRJWN7y";"PzsDMMRvEC";"2019-08-08 08:52:15";"2019-08-08 08:52:15"
88;"Ephraim";"Price";"Jakubowski";37;"Femenino";"carol91@example.org";"2019-08-08 08:52:12";"Precision Devices Inspector";"Diurna";"Secundaria";1;"$2y$10$YkpG5/TAVO5kjp/IV3zmouIFhmafAi8Lti7m/QwaZ.5CmZmRJWN7y";"zCRHt3RxDc";"2019-08-08 08:52:15";"2019-08-08 08:52:15"
89;"Crystel";"Cronin";"Purdy";25;"Masculino";"sstehr@example.org";"2019-08-08 08:52:12";"Buyer";"Nocturna";"Tecnica";4;"$2y$10$YkpG5/TAVO5kjp/IV3zmouIFhmafAi8Lti7m/QwaZ.5CmZmRJWN7y";"ZNmPo5EsdG";"2019-08-08 08:52:15";"2019-08-08 08:52:15"
90;"Rebeca";"Goodwin";"Cummerata";27;"Masculino";"yswift@example.org";"2019-08-08 08:52:12";"Boat Builder and Shipwright";"Diurna";"Universidad";2;"$2y$10$YkpG5/TAVO5kjp/IV3zmouIFhmafAi8Lti7m/QwaZ.5CmZmRJWN7y";"Dxi5GiXCJq";"2019-08-08 08:52:15";"2019-08-08 08:52:15"
91;"Gaston";"Daniel";"Robel";38;"Femenino";"cory11@example.com";"2019-08-08 08:52:12";"Therapist";"Diurna";"Secundaria";1;"$2y$10$YkpG5/TAVO5kjp/IV3zmouIFhmafAi8Lti7m/QwaZ.5CmZmRJWN7y";"OSWfH3rxm0";"2019-08-08 08:52:15";"2019-08-08 08:52:15"
92;"Americo";"Torp";"Schaden";19;"Femenino";"grady51@example.net";"2019-08-08 08:52:12";"Foundry Mold and Coremaker";"Mixta";"Tecnica";4;"$2y$10$YkpG5/TAVO5kjp/IV3zmouIFhmafAi8Lti7m/QwaZ.5CmZmRJWN7y";"0ccWXAVXFa";"2019-08-08 08:52:15";"2019-08-08 08:52:15"
93;"Oscar";"Thompson";"Walter";27;"Femenino";"senger.german@example.org";"2019-08-08 08:52:12";"Mail Machine Operator";"Nocturna";"Secundaria";4;"$2y$10$YkpG5/TAVO5kjp/IV3zmouIFhmafAi8Lti7m/QwaZ.5CmZmRJWN7y";"QCytQnGll1";"2019-08-08 08:52:15";"2019-08-08 08:52:15"
94;"Adonis";"Hane";"Swift";19;"Masculino";"fermin.halvorson@example.net";"2019-08-08 08:52:12";"Paperhanger";"Diurna";"Secundaria";5;"$2y$10$YkpG5/TAVO5kjp/IV3zmouIFhmafAi8Lti7m/QwaZ.5CmZmRJWN7y";"xrm0VJjEJD";"2019-08-08 08:52:15";"2019-08-08 08:52:15"
95;"Angelita";"Littel";"Braun";29;"Femenino";"wellington.conroy@example.com";"2019-08-08 08:52:12";"Answering Service";"Diurna";"Secundaria";1;"$2y$10$YkpG5/TAVO5kjp/IV3zmouIFhmafAi8Lti7m/QwaZ.5CmZmRJWN7y";"40A6tv89rr";"2019-08-08 08:52:15";"2019-08-08 08:52:15"
96;"Leilani";"Medhurst";"Cremin";39;"Femenino";"hilton33@example.com";"2019-08-08 08:52:12";"Farmer";"Diurna";"Primaria";1;"$2y$10$YkpG5/TAVO5kjp/IV3zmouIFhmafAi8Lti7m/QwaZ.5CmZmRJWN7y";"aCnbAIPD5r";"2019-08-08 08:52:15";"2019-08-08 08:52:15"
97;"Harmony";"Reichert";"Thompson";18;"Femenino";"kayleigh.cartwright@example.org";"2019-08-08 08:52:12";"Security Guard";"Mixta";"Preparatoria";3;"$2y$10$YkpG5/TAVO5kjp/IV3zmouIFhmafAi8Lti7m/QwaZ.5CmZmRJWN7y";"BXnASNIzeH";"2019-08-08 08:52:15";"2019-08-08 08:52:15"
98;"Madie";"Wiegand";"Larson";30;"Femenino";"gage12@example.org";"2019-08-08 08:52:12";"Door To Door Sales";"Diurna";"Secundaria";3;"$2y$10$YkpG5/TAVO5kjp/IV3zmouIFhmafAi8Lti7m/QwaZ.5CmZmRJWN7y";"WZHMWPfunb";"2019-08-08 08:52:15";"2019-08-08 08:52:15"
99;"Allie";"Miller";"Stehr";31;"Femenino";"cole.taya@example.com";"2019-08-08 08:52:12";"Ticket Agent";"Mixta";"Universidad";2;"$2y$10$YkpG5/TAVO5kjp/IV3zmouIFhmafAi8Lti7m/QwaZ.5CmZmRJWN7y";"qroZ4YuRG6";"2019-08-08 08:52:15";"2019-08-08 08:52:15"
100;"Hazle";"Johns";"Heaney";34;"Femenino";"ejaskolski@example.org";"2019-08-08 08:52:12";"Law Enforcement Teacher";"Diurna";"Preparatoria";5;"$2y$10$YkpG5/TAVO5kjp/IV3zmouIFhmafAi8Lti7m/QwaZ.5CmZmRJWN7y";"vUGopmpiYF";"2019-08-08 08:52:16";"2019-08-08 08:52:16"
102;"Jason";"Jason";"Jason";90;"Masculino";"rojo@gmail.com";"";"Masculino";"Diurna";"Primaria";6;"$2y$10$3UBjsl/qEiiVlsa0x/N2queTOmKfDaB4KrLeCK4aRNvR4XoxXwCBC";"";"2019-08-13 06:13:07";"2019-08-13 06:13:07"
